"newsgroup","id","post_txt"
"talk.politics.guns",53293,"You are betraying your lack of understanding about RATE versus TOTAL : NUMBER. Rates are expressed, often, as #/100,000 population. : Therefore, if a place had 10 deaths and a population of 100,000, the : rate would be 10/100,000.  A place that had 50 deaths and a population : of 1,000,000 would hav a rate of 5/100,000.  The former has a higher : rate, the latter a higher total.  You are less likely to die in the : latter.  Simple enuff? For chrissakes, take out your calculator and work out the numbers. Here... I've preformatted them for you to make it easier: 			handgun homicides/population 	Switzerland :	24 /  6,350,000 	         UK :    8 / 55,670,000 ... and then tell me again how Switzerland is safer with a more liberal handgun law than the UK is without...by RATE or TOTAL NUMBER. Your choice."
"talk.politics.guns",53294,"You just can't compare this way!  All homicides must be shown, per capita, not   : just handguns.  The availability of them in the USA makes them the preferred   : murder weapon, but ban them, and some other weapon will step in as the   : favorite. As a ""favorite"", sure.  As lethal, not likely.  A study of violence in Chicago produced this table: 		Percentage of Reported Gun and Knife Attacks 			    Resulting in Death 	Weapon				Deaths As Percentage of Attacks 	Knives (16,518 total attacks)		 2.4 	Guns (6,350 total attacks)		12.2 	Source: Firearms and Violence in American Life It might be contended that if gun murderers were deprived of guns that they would find a way to kill as often with knives.  If this were so, knife attacks in cities where guns were widely used in homicide would be expected to show a low fatality rate, and knife attacks in cities where guns were not so widely used (like Vancouver) would show a higher fatality rate.  But the Nat'l Commission on the Causes and Prevention of Violence Task Force analyzed the data and found this not to be the case.  It appeared to them that as the number of knife attacks increased in relation to the number of firearms attacks (which presumably happened where guns were less available to assailants), the proportion of FATAL knife attacks did NOT increase relative to the proportion of gun attacks.  In fact, the reverse was true. What was found was that most homicides did not show a determination on the part of the assailant to kill.  Fatalities caused by knife tended to show a single-mindedness on the part of the assailant to do grave physical injury: multiple stabs wounds, wounds concentrated about the head neck and chest, etc.  Most gun homicides did not show this pattern.  Rather, more fatal attacks were committed during a moment of rage and not the focused intent to kill the victim. 	Source: Report on Firearms and Violence : Then, since England != USA (my ancestors left because of the oppression) you   : must compare England before strict gun laws to England after strict gun laws to   : be able to draw any meaning at all.  England has essentially legalized drugs,   : so there are no drug gangs battling for turf, etc., there.  If you drop out the   : drug related killings here, the USA would look a whole lot more peaceful. There are a lot of factors which make a difference.  Actually, I'm not fond of making ANY kind of social parallels between Europeans and Americans. There are more cultural, beahvioral and economic differences between us than similarities.  I just sort of found myself backed into that corner over the last couple of weeks.  I don't think we could ever attain the low levels of European violent crime here in the US, whether we banned guns or required every law-abiding citizen to carry a loaded Uzi. On the other hand, we can draw lessons from neighbors who are more culturally similar, namely the Canadians.  In fact, an exhaustive, seven-year study has already been done of the respective crime rates of Vancouver, British Columbia and Seattle, Washington... cities with roughly the same population, urban economy, geography and crime but with decidedly different approaches to gun control. In Seattle, handguns may be purchased legally for self-defense.  After a 30-day waiting period, a permit can be obtained to carry a concealed weapon.  The recreational use of handguns is minimally restricted. In Vancouver, self-defense is not considered a valid or legal reason to purchase a handgun.  Concealed weapons are not permitted. Recreational uses of handguns (target shooting, collecting) are regulated by the province.  Purchase of a handgun requires a restricted-weapons permit.  A permit to carry may be obtained in order to transport the weapon to licensed shooting clubs.  Handguns transported by vehicle must be stored in the trunk in a locked box. In short, gun control but not unreasonably so. Both cities aggressively enforce their gun laws.  Convictions for gun-related offenses carry similar penalties.  The researchers studied all cases of robbery, assault (simple and aggravated), burglary and homicides occurring in Seattle and Vancouver from 1/1/80 to 12/31/86. In defining the cases, they used the same standard: the FBI's Unified Crime Report. Results: during the seven-year study the annual rate of robbery in Seattle was found to be only slightly higher than that in Vancouver (1.09 / 1.11).  Burglaries occurred at nearly identical rates (.99). 18,925 assaults were recorded in Seattle versus 12,034 in Vancouver.  The risk of being a victim of a simple assault in Seattle was found to be only slightly higher than Vancouver (1.18 / 1.15) and the risk of aggravated assault was also slightly higher (1.16 / 1.12).  However, when aggravated assaults were subdivided by weapon and the mechanism of assault, a clear pattern emerged. Although both cities reported nearly identical rates of aggravated assault involving knives and other dangerous weapons, firearms were far more likely to be used in Seattle.  In fact, 7.7 times as often. Over the seven-year study, 388 homicides occurred in Seattle (11.3 per 100,000) vs. 204 homicides in Vancouver (6.9 per 100,000). After adjustment for differences in age and sex among the populations, the relative risk of being a victim of homicide in Seattle, as compared to Vancouver, was found to be 1.63. When homicides were subdivided by the mechanism of death, the rate of homicide by knives and other weapons (excluding firearms) in Seattle was found to be almost identical to that in Vancouver. Virtually ALL of the increased risk of death in Seattle was due to a more than fivefold higher rate of homicide by firearms.  Handguns accounted for roughly 85% of homicides involving firearms.  Handguns were 4.8 times more likely to be used in homicides in Seattle than in Vancouver. The authors of the report also investigated ""legally justifiable"" homicides (self-defense).  Only 32 such homicides occurred during the seven-year study, 11 of which were committed by police.  Only 21 cases of civilians acting in self-defense occurrred: 17 in Seattle and 4 in Vancouver.  Only 13 involved firearms.  After excluding these cases, there was virtually no impact on these earlier findings."
"talk.politics.guns",53295,"Sure, but the difference in per-capita crime rates predates the : : gun control laws: The homicide rate in England was a tenth that : : of America, back when anyone in England could buy a gun without : : any paperwork at all. : Steve Manes asks: : Colin Greenwood from Scotland Yard did a study that showed that gun : control has had no effect on crime or murder rates in the UK.  His book, : _Firearms_Controls_, has been published in London by Keegan Paul (name : may be misspelled). Others dispute that, like Richard Hofstadter, <America As A Gun Culture>, and Newton and Zimring's <Firearms and Violence in American Life>.  But, again, statistics between too dissimilar cultures are difficult to quantify. I don't know how anyone can state that gun control could have NO effect on homicide rates.  There were over 250 >accidental< handgun homicides in America in 1990, most with licensed weapons.  More American children accidentally shot other children last year (15) than all the handgun homicides in Great Britain.  (Source: National Safety Council.  Please... no dictionary arguments about RATES vs TOTAL NUMBERS, okay?  They're offered for emphasis, not comparison). If Mr. Greenwood believes that Brits are much too sober and coordinated to make such mistakes I'd like to introduce him to my friend, Amanda from Brighton.  I used to have some pretty nice crystal in my place until she moved in.  I've gotten used to the snide comments from guests about the clown motif on my rubber wine glasses."
"talk.politics.guns",53297,"The ATF agent interviewed on ""Street Stories"" reported that the raid was ill planned, and went ahead even when they (the BD's) knew the ATF was  coming. WHY? I believe this raid was ill planned because they only had 2 days to plan it, and it was continued when failure was obvious because it had a bit part in the much larger political agenda of President Clinton. I would even  suggest that the loss of 4 ATF agents is inconsequential in this the context of his political agenda. It MIGHT even be beneficial to his agenda,  as it helps point up just how evil these assualt weapons are. Further proof might be that the ATF denied their agents (Street Stories report) requests for sufficient fire power.  Important dates:  Feb 25th - NJ assembly votes to overturn assault weapon ban. Feb 28th - Compound in Waco attacked.	    On Feb. 25th the New Jersey assembly voted to overturn the assault weapon ban in that state. It looked like it might be a tight vote, but the Senate in N.J. was going to vote to overturn the ban. It would not sit well to have an Eastern state overturn an assault weapon ban, given Clintons stated agenda on gun control. I suspect Clinton gave the order to get someone or some group with assualt weapons and have the press present (they were initially at the incident in Waco) to record the event for the TV audience. The agent  on ""Street Stories"" reported that a supervisor was urging them all to ""get  ready fast"", as ""they know we are coming"". I believe this attack continued,  even tho the probablility of failure was high,  because it came from the top  down. After the N.J. assembly vote, the ATF had a limited amount of time to come up with something, and the Wackos in Waco fit the bill nicely. ...rich "
"talk.politics.guns",53298,"       The San Jose Mercury News described him as ""a 61-year old retired chemical engineer"". 					John Nagle"
"talk.politics.guns",53299,"Killed by handgun, or killed?  If I'm dead, I don't much care if it was by being shot or stabbed to death. I don't think you can get an accurate indicator of how safe England is compared to Switzerland by concentrating only on handgun murders and   completely ignoring murders by other weapons, not to mention the rate of other violent crimes.  If there are more guns in circulation, if follows that more people will be killed with them 'cause they are available to the person intent on committing a crime _regardless_ of whether they have to do it with a gun, knife, or bare hands.   The gun control lobby doesn't seem to understand this point.  If people are intent on committing a crime, they will do it with whatever means are available to them.   aaron arc@cco.caltech.edu"
"talk.politics.guns",53300,"        Dumb move.           The smart move would be to sneak in someone with a TV camera and video transmitter.   					John Nagle"
"talk.politics.guns",53301,"How can you say that?  I presume that you mean that talking about restricting rights is not the same as restricting those rights.  Well, arguing for those restrictions may lead to implementation, much the same way as assault can lead to battery (legal definitions). Well, I can't speak for the homosexuals, but I've seen ALOT of polite discussion on t.p.g.  Please, everyone, don't take this guy's word, or mine for that matter, on it.  Read t.p.g. for a while, and try to determine from which direction most of the flameage originates.  If you post without flamebait, you will generally receive reasoned responses.  True, there are those who tend to lose their tempers quickly, as there are on all newsgroups, but they really do feel their rights are in jeopardy. Oh, and neat trick talking derisively about another newsgroup while not crossposting to allow them to defend themselves. Methinks you doth protest too much. 				Dave Schabel"
"talk.politics.guns",53302,"The existence of the weapon in and of itself (and this is also true for biologics and chemical weapons, but for slightly different reasons) poses a threat to living critters.  Can you say ""neutron and other radiation flux due to radioactive decay"", boys and girls? aaron arc@cco.caltech.edu"
"talk.politics.guns",53303,"To keep from flooding s.c.u, I e-mailed it.  However, I agree that it's quite the sneaky trick.  No more than I would expect, however."
